pp,et
0,2.239804
0,2.239804
0,2.239804
0,2.239804
0.80759,2.239804
0,2.239804
0.80759,2.239804
1.009487,2.239804
1.514231,2.239804
1.514231,2.239804
0.80759,2.239804
0,2.239804
0.80759,2.239804
1.514231,2.239804
0,2.239804
0,2.239804
0.80759,2.239804
0.80759,2.239804
0,2.239804
0,2.239804
1.312333,2.239804
0.504744,2.239804
0,2.239804
0,2.239804
0.302846,2.239804
0,2.239804
0,2.239804
0,2.239804
0,2.239804
0.80759,2.239804
0.80759,2.239804
0,1.798994
0,1.798994
0,1.798994
0,1.798994
0.302846,1.798994
0,1.798994
0,1.798994
0,1.798994
0,1.798994
0,1.798994
0.80759,1.798994
0,1.798994
0,1.798994
0.80759,1.798994
0,1.798994
0.504744,1.798994
2.119923,1.798994
1.312333,1.798994
1.514231,1.798994
0.80759,1.798994
2.119923,1.798994
3.836051,1.798994
1.009487,1.798994
1.514231,1.798994
1.312333,1.798994
2.624667,1.798994
2.119923,1.798994
3.836051,1.968925
14.233769,1.968925
1.009487,1.968925
0.80759,1.968925
0.80759,1.968925
1.312333,1.968925
0.80759,1.968925
0.80759,1.968925
0,1.968925
0,1.968925
9.287282,1.968925
3.12941,1.968925
7.773051,1.968925
1.514231,1.968925
1.009487,1.968925
0.80759,1.968925
0,1.968925
1.009487,1.968925
0.302846,1.968925
3.12941,1.968925
2.826564,1.968925
3.12941,1.968925
0.80759,1.968925
0,1.968925
1.514231,1.968925
0.80759,1.968925
0,1.968925
0.80759,1.968925
0,1.968925
0,1.968925
0,1.968925
0,2.314254
1.514231,2.314254
0,2.314254
0,2.314254
0,2.314254
0.80759,2.314254
0,2.314254
0,2.314254
1.514231,2.314254
2.826564,2.314254
0,2.314254
2.826564,2.314254
6.258821,2.314254
0.80759,2.314254
7.974949,2.314254
0.80759,2.314254
7.268308,2.314254
0.80759,2.314254
0,2.314254
0,2.314254
0,2.314254
0,2.314254
1.009487,2.314254
0.80759,2.314254
0.80759,2.314254
0,2.314254
37.754821,2.314254
2.826564,2.314254
86.412103,2.314254
2.119923,2.314254
0.504744,3.121425
0,3.121425
0,3.121425
0,3.121425
0,3.121425
0,3.121425
0,3.121425
1.009487,3.121425
0.80759,3.121425
0.80759,3.121425
0,3.121425
0.302846,3.121425
0,3.121425
19.382154,3.121425
1.514231,3.121425
0.504744,3.121425
2.826564,3.121425
1.514231,3.121425
28.770385,3.121425
5.653128,3.121425
0.80759,3.121425
0,3.121425
5.955974,3.121425
0.504744,3.121425
1.817077,3.121425
0,3.121425
0.80759,3.121425
0,3.121425
0,3.121425
0,3.121425
28.972282,3.121425
12.214795,3.168534
0,3.168534
3.12941,3.168534
11.911949,3.168534
19.180256,3.168534
0,3.168534
0,3.168534
0,3.168534
2.119923,3.168534
0.80759,3.168534
0,3.168534
0,3.168534
4.138897,3.168534
19.382154,3.168534
3.836051,3.168534
0.80759,3.168534
0,3.168534
1.009487,3.168534
0,3.168534
0.80759,3.168534
0,3.168534
0,3.168534
3.836051,3.168534
0,3.168534
33.918769,3.168534
0,3.168534
3.12941,3.168534
36.543436,3.168534
10.397718,3.168534
4.138897,3.168534
0.80759,3.082788
0,3.082788
0,3.082788
0,3.082788
0,3.082788
0,3.082788
0,3.082788
0,3.082788
0,3.082788
28.467538,3.082788
19.382154,3.082788
0.80759,3.082788
10.599615,3.082788
0,3.082788
6.258821,3.082788
0,3.082788
1.009487,3.082788
0,3.082788
4.643641,3.082788
0,3.082788
0,3.082788
26.145718,3.082788
7.974949,3.082788
32.606436,3.082788
44.821231,3.082788
5.148385,3.082788
0.80759,3.082788
0,3.082788
0,3.082788
0.80759,3.082788
0,3.082788
0,2.683799
6.258821,2.683799
2.119923,2.683799
4.946487,2.683799
0,2.683799
50.979103,2.683799
0,2.683799
2.624667,2.683799
14.738513,2.683799
4.138897,2.683799
0,2.683799
0,2.683799
0,2.683799
0,2.683799
0,2.683799
0,2.683799
0,2.683799
0,2.683799
1.009487,2.683799
47.344949,2.683799
0,2.683799
0,2.683799
0,2.683799
29.477026,2.683799
0.504744,2.683799
7.268308,2.683799
1.009487,2.683799
0,2.683799
0,2.683799
33.615923,2.683799
0,2.683799
0,2.937614
0,2.937614
0.80759,2.937614
0,2.937614
0.80759,2.937614
0.80759,2.937614
0.80759,2.937614
0,2.937614
6.258821,2.937614
0,2.937614
0,2.937614
2.826564,2.937614
0.302846,2.937614
0.80759,2.937614
0,2.937614
0,2.937614
0,2.937614
0,2.937614
0,2.937614
0,2.937614
0,2.937614
0,2.937614
0.80759,2.937614
0,2.937614
1.514231,2.937614
0,2.937614
0,2.937614
6.965462,2.937614
3.12941,2.937614
11.911949,2.937614
7.268308,3.063559
12.921436,3.063559
1.514231,3.063559
0,3.063559
0,3.063559
75.61059,3.063559
0.80759,3.063559
0.80759,3.063559
0,3.063559
0,3.063559
0,3.063559
0,3.063559
0,3.063559
0.80759,3.063559
0.80759,3.063559
0,3.063559
69.351769,3.063559
30.587462,3.063559
25.338128,3.063559
0,3.063559
20.49259,3.063559
1.817077,3.063559
0,3.063559
0,3.063559
0,3.063559
0,3.063559
0,3.063559
0,3.063559
0,3.063559
1.009487,3.063559
22.81441,3.063559
0,2.829935
0.504744,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0,2.829935
0.80759,2.829935
2.119923,2.829935
0,2.829935
0,2.829935
1.514231,2.599675
0,2.599675
0.80759,2.599675
0.80759,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0.80759,2.599675
0,2.599675
0,2.599675
1.514231,2.599675
0,2.599675
0.80759,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0,2.599675
0.80759,2.599675
0,2.599675
0,2.599675
0,2.239804
0,2.239804
0,2.239804
0,2.239804
3.836051,2.239804
1.817077,2.239804
0.80759,2.239804
0.80759,2.239804
0,2.239804
0,2.239804
